REG_HOLD_RISK,FM_UNMET_NEED,CURRENT_BALANCE,LAST_GPA,PREV_GPA,WI_GRADE_COUNT,DFW_GRADE_COUNT,FIRST_GENERATION_RISK,HIGH_SCHOOL_GPA
1,,1641.5,0,4,0,0,0,''
0,-2000,0,3.665,,0,0,0,''
0,1274,0,4,0,5,3,0,''
0,,281,4,4,0,0,0,'3.06'
0,,0,0,4,6,11,0,''
0,,0,3.665,4,0,0,0,''
0,,0,4,3.67,0,0,0,''
1,,1979.88,0,3.428571429,7,9,0,''
0,,0,0,4,0,0,0,''
1,,407,0,3.2,3,12,0,''
0,13106,0,2,3.335,0,11,0,''
0,,0,4,4,0,0,0,''
0,,0,3.428571429,3,0,0,0,''
0,,0,,,0,0,0,''
0,,0,4,4,0,0,0,''
1,,753.8,0,2.33,2,6,0,''
0,1223,69.06,4,4,7,6,0,'2.53'
0,,0,0,,0,0,0,''
0,,150,2.67,4,0,0,0,'2.393'
0,,0,,,0,0,0,''
0,,240,3.28,2.59,0,0,0,''
0,6883,0,3.5,3,0,3,0,''
0,,0,4,4,0,0,1,''
0,,0,,,0,0,0,''
0,,0,3.67,4,0,0,1,''
1,,2449,0,3.835,8,10,0,'3.5'
1,,0,0,4,0,0,0,''
0,,0,4,4,0,0,0,''
0,0,0,4,3,8,1,0,''
0,,0,0,0,2,9,1,'2.58'
1,0,2076,0,4,0,0,0,''
1,,0,4,3.67,0,0,0,''
1,4180,742,4,3.335,1,12,0,''
0,,0,4,4,2,0,0,''
0,,0,3.22,3.553333333,0,7,0,'2.83'
0,,0,0,4,0,0,0,''
0,,0,4,3.443333333,5,5,1,'0'
0,,0,0,0,0,0,0,''
0,,12.5,3.571428571,4,0,0,0,''
1,-11379,122,4,2.811428571,0,0,1,''
0,-10347,0,4,4,0,0,1,''
0,,0,,,0,0,1,''
1,,2459,3.6,3.066,0,0,0,''
0,0,0,4,,0,0,0,'3.75'
0,,0,3.714285714,2.665,0,6,1,'2.61'
1,,3681.5,4,4,1,1,0,''
0,,0,4,4,0,0,0,''
0,,0,3.835,4,0,0,0,'2.59'
0,0,0,3.868,3.78,0,1,0,''
0,,0,4,4,0,0,0,''
0,5372,0,0,3.192857143,0,3,0,''
0,,640,,,0,0,0,''
0,3415,188.66,4,4,0,0,0,''
0,,281,3.808571429,3.902941176,0,0,0,''
0,12027,321.5,2.67,3.156,0,5,1,''
0,11857,36,3.556666667,3.665,4,15,0,''
0,9468,0,4,4,1,9,0,'3.36'
0,6937,612,,,0,0,1,''
0,,891,3.67,4,0,0,0,''
0,,0,4,4,2,0,0,''
0,,0,4,4,0,0,0,'3.74'
0,,0,,,0,9,1,'2.0'
0,,0,4,3.835,0,0,1,''
0,,0,3.67,0,0,0,0,''
0,,0,0,1.335,1,6,0,''
0,,0,4,3.2,3,2,0,'3.24'
0,9912,0,2.5,4,6,9,0,'3.55'
0,,0,4,4,1,1,0,''
0,,0,4,4,0,0,0,''
0,,0,4,4,0,0,0,''
0,4974,0,4,3.585,0,3,0,'3.17'
0,,0,3.89,3.776666667,0,0,0,''
1,,1096.2,0,0,2,12,1,''
0,,0,0,3.59,1,1,0,''
0,,0,3.67,3.67,0,0,0,'2.86'
0,13254,-485,4,4,4,14,0,''
0,,0,4,3.33,3,3,0,'3.33'
0,,0,3.67,0,0,0,0,''
0,17308.56,0,2.665,3.165,0,9,0,'3.0'
